S2_T,S2-H,S2_P,S3_T,S3_H,S3_P,S5_T,S5_H,S5_P,S6_T,S6_H,S6_P
1.20426633,-1.144901007,1.777046349,0.875235479,-0.871119208,1.777046349,1.221296229,-1.454043185,1.777046349,1.181658604,-0.761941944,2.38964265
1.604105812,-1.100524999,1.621554793,0.821775245,-0.953170239,1.621554793,1.240863058,-0.863938929,1.621554793,1.163714141,-0.562959655,2.129898883
0.6443554,-1.073635775,1.354997841,0.730330108,-0.973772728,1.354997841,0.999538836,-0.826949499,1.354997841,0.976084321,-0.352272526,1.740283234
0.60671148,-0.972669372,1.066227809,0.45001559,-0.747719627,1.066227809,0.663641609,-0.627458931,1.066227809,0.668824751,0.027559143,1.272744455
0.122088392,-0.249911618,0.733031619,0.062780604,-0.214998107,0.733031619,0.151642923,-0.126873079,0.733031619,0.316231802,0.356781768,0.753256922
0.008478361,0.090070115,0.399835428,0.024795701,-0.10631459,0.399835428,0.145120647,-0.072418264,0.399835428,-0.002361114,0.558306501,0.363641273
-0.123444929,0.318013412,0.222130794,-0.249188,0.161158848,0.222130794,-0.053808779,0.049175355,0.222130794,-0.167953874,0.691856812,0.15584626
-0.169228076,0.405447329,0.111065397,-0.355756756,0.161230634,0.111065397,-0.177732028,0.292495408,0.111065397,-0.214546513,0.558882149,0.051948753
-0.314716743,0.435851485,0.022213079,-0.434188547,0.161445991,0.022213079,-0.242954791,0.387658518,0.022213079,-0.490009755,0.643790213,0
-0.567711021,0.381282176,-0.022213079,-0.551308665,0.16079992,-0.022213079,-0.386444868,0.780795723,-0.022213079,-0.569657984,0.805595242,-0.07792313
-0.62672041,0.390948237,-0.044426159,-0.5027724,0.160943491,-0.044426159,-0.552762913,0.808554397,-0.044426159,-0.444676376,0.752299841,-0.103897507
1.53492239,-1.529961735,0.533113905,1.68522837,-1.643963822,0.533113905,2.701852939,-2.718988703,0.533113905,2.218659653,-1.29839781,0.935077559
1.595966586,-1.446306369,0.68860546,1.668697903,-1.483235688,0.68860546,1.801778816,-0.895018018,0.68860546,1.914548234,-1.114142513,1.168846948
1.713307096,-1.619856103,0.777457777,1.244884862,-1.324804696,0.777457777,1.472403865,-1.098028227,0.777457777,1.704251725,-1.023957677,1.324693208
1.130335026,-1.073196408,0.821883936,1.363411828,-1.197313331,0.821883936,1.152812328,-0.952129166,0.821883936,0.706602567,0.055717919,1.428590714
0.544989015,-0.368189057,0.733031619,0.561156603,-0.376803026,0.733031619,0.754953477,-1.087004447,0.733031619,0.4431023,0.302670866,1.298718831
