S2_T,S2-H,S2_P,S3_T,S3_H,S3_P,S5_T,S5_H,S5_P,S4_T,S4_H,S4_P
0.544989015,-0.368189057,0.733031619,0.561156603,-0.376803026,0.733031619,0.754953477,-1.087004447,0.733031619,1.107714702,-0.263609537,0.733031619
-0.047139685,0.048945419,0.621966222,0.087400449,0.162092062,0.621966222,0.409272835,-0.278748888,0.621966222,0.773352849,-0.368513162,0.621966222
0.073931304,0.361774307,0.510900825,-0.134881578,0.16079992,0.510900825,0.220126824,0.131256028,0.510900825,0.518309237,-0.061605037,0.510900825
0.064774674,0.261774511,0.377622349,-0.07579395,0.161948491,0.377622349,-0.024458536,0.455660629,0.377622349,0.445762065,0.061538347,0.377622349
-0.002713075,0.417749589,0.310983111,-0.183066131,0.161517777,0.310983111,-0.004891707,0.485477961,0.310983111,0.333233341,0.381150948,0.310983111
-0.140740785,0.444463067,0.266556952,-0.241098622,0.161087062,0.266556952,-0.298394139,0.705422289,0.266556952,0.072708387,0.529136417,0.266556952
-0.101740326,0.457116819,0.288770032,-0.241098622,0.161589562,0.288770032,-0.220126824,0.787835004,0.288770032,0.232312165,0.529603248,0.288770032
-0.178045571,0.452986775,0.377622349,-0.245670879,0.161445991,0.377622349,-0.252738205,0.782323114,0.377622349,0.027245493,0.529303143,0.377622349
2.33494049,-2.200610632,0.755244698,1.961674055,-2.199441402,0.755244698,2.017013932,-2.28016258,0.755244698,2.596382662,-1.329651776,0.755244698
2.998626552,-2.629959494,0.888523174,2.016541137,-2.100736094,0.888523174,0.833220792,-0.387658518,0.888523174,2.024066086,-1.039883022,0.888523174
1.668202218,-1.593054752,0.932949333,1.649002027,-2.17273713,0.932949333,0.64407478,-0.367868842,0.932949333,1.322776761,-0.578687207,0.932949333
1.219188244,-1.00070095,1.02180165,0.778866373,-0.667535024,1.02180165,0.898443554,-0.679191006,1.02180165,1.178649714,-0.390821021,1.02180165
0.681321052,-0.22829479,1.332784761,0.70359999,-0.370485887,1.332784761,1.143028914,-1.243728062,1.332784761,0.983255998,-0.341536992,1.332784761
0.435109462,0.138576168,1.688194031,0.294910568,0.161876705,1.688194031,0.099464713,0.38447092,1.688194031,0.983255998,-0.348272698,1.688194031
0.320142894,0.236379132,2.08802946,0.086345312,0.10796566,2.08802946,-0.099464713,0.694398509,2.08802946,0.505734394,-0.117124597,2.08802946
0.231289675,0.403250497,2.843274158,0.099006947,0.161445991,2.843274158,-0.066853332,0.542456293,2.843274158,0.421902107,0.120659175,2.843274158
0.243498514,0.434181893,3.887288887,0.070518269,0.161804919,3.887288887,-0.096203575,0.705156656,3.887288887,0.417065628,-0.036262776,3.887288887
-0.19635883,0.392705703,4.353763554,-0.127847336,0.161374205,4.353763554,-0.17447089,0.713856145,4.353763554,0.356448436,0.016789248,4.353763554
-0.084444471,0.407819908,3.731797332,-0.31214446,0.161302419,3.731797332,-0.12229268,0.691874994,3.731797332,0.3570933,0.337668962,3.731797332
-0.016617587,0.426536917,2.732208761,-0.23898835,0.161445991,2.732208761,-0.194037719,0.743407843,2.732208761,0.16782579,0.529236452,2.732208761
1.835734622,-1.851929445,4.953516697,1.656739692,-1.848624792,4.953516697,1.628938495,-1.735747242,4.953516697,2.021486631,-1.106739909,4.953516697
1.30634579,-1.350436617,5.975318347,0.755653376,-0.472995835,5.975318347,1.514798661,-1.188144305,5.975318347,1.188000238,-0.370847318,5.975318347
0.775261287,-0.623021578,2.486219172,0.541460727,0.154195637,6.486219172,0.2266491,0.198992505,6.486219172,1.277636299,-0.347305691,0.6
0.298099156,-0.026361985,3.085972315,0.370880375,0.144217428,2.085972315,0.59189657,-0.397885398,2.085972315,0.9903495,-0.182747716,0.7
0.074270438,0.097012105,3.530233902,-0.061725468,0.161589562,2.530233902,0.125553818,0.416878176,2.530233902,0.681782197,0.076843739,0.8
-0.000339134,0.179700864,3.974495489,-0.230195548,0.161517777,2.974495489,0.030980812,0.66644061,2.974495489,0.175564155,0.529369833,0.8
-0.113610031,0.388048419,3.974495489,-0.221754458,0.161589562,2.974495489,-0.102725851,0.756423872,2.974495489,0.199746546,0.529303143,0.8
-0.093940235,0.421967506,3.663512378,-0.160204847,0.161661348,2.663512378,-0.207082271,0.798659558,2.663512378,0.228765414,0.529303143,0.8
-0.123784064,0.452986775,3.419168505,-0.298427689,0.161589562,2.419168505,-0.311438691,0.807359047,2.419168505,0.102049688,0.529269797,0.8
-0.19941104,0.451141436,3.352529267,-0.320585549,0.161374205,2.352529267,-0.311438691,0.825289291,2.352529267,0.062068136,0.529369833,0.8
-0.345577975,0.447187138,3.752364696,-0.384597145,0.161230634,2.752364696,-0.360355763,0.828941749,2.752364696,-0.036273586,-2.799302874,0.8
-0.21399382,0.459401525,2.90826768,-0.43981594,0.161517777,2.90826768,-0.454928769,0.825023658,2.90826768,-0.137517194,-2.799302874,0.6
0.805105116,-0.659049624,0.133278476,1.734468059,-1.595149561,0.133278476,1.319130373,-1.932847111,0.133278476,1.546866913,-1.008872097,0.133278476
0.28148157,-0.030228409,0.177704635,0.165480528,-0.098059237,0.177704635,0.712558681,-0.983407481,0.177704635,0.217480299,0.1347308,0.177704635
0.220437374,0.244639221,0.222130794,0.089510721,-0.096910666,0.222130794,0.38318373,-0.859755205,0.222130794,0.178466042,0.529503213,0.222130794
-0.001695672,0.33883938,0.222130794,-0.094786402,0.161661348,0.222130794,-0.337527796,0.493181325,0.222130794,0.196844659,0.050634505,0.222130794
-0.016956721,0.312916762,0.266556952,-0.018113171,0.162092062,0.266556952,-0.125553818,0.284260777,0.266556952,0.148157446,0.276614119,0.266556952
-0.24621159,0.41001674,0.33319619,-0.298779401,0.161230634,0.33319619,-0.298394139,0.65661218,0.33319619,0.097535642,0.363744816,0.33319619
-0.270968403,0.452283789,0.377622349,-0.426802594,0.160440991,0.377622349,-0.392967144,0.64758065,0.377622349,0.163634176,0.219560686,0.377622349
