S2_T,S2_H,S2_R,S2_P,S3_T,S3_H,S3_R,S3_P,S5_T,S5_H,S5_R,S5_P,S6_T,S6_H,S6_R,S6_P
0.05967381,0.107784081,-0.540423989,0.512811677,0.02977128,0.001979617,-0.47033898,0.512811677,0.004504609,0.201720808,-0.649032694,0.512811677,-0.34241192,0.093214745,-0.230455806,0.649773286
0.016773179,0.177561889,-0.014481001,0.615374013,-0.000640243,0.002492851,0.55475135,0.615374013,-0.031532264,0.22270152,0.77209952,0.615374013,-0.554191851,0.186868768,0.601512293,0.820766256
-0.095478096,0.171241745,-0.264672059,0.581186568,-0.082911416,0.002052936,-0.332301242,0.581186568,-0.073575282,0.288890673,0.721292755,0.581186568,-0.841376042,0.17488527,0.499764221,0.85496485
-0.615769208,0.169960635,0.506669918,0.546999123,-0.393429072,0.001539702,-0.331809758,0.546999123,-0.121624446,0.236251564,0.208437545,0.546999123,-1.053155973,0.18279227,0.159563422,0.820766256
-1.148640204,0.148010945,0.667256603,0.546999123,-0.694022969,0.000953149,-0.122933543,0.546999123,-0.424934793,0.294385621,0.366675494,0.546999123,-1.160665952,0.16634571,-0.206892144,0.68397188
-0.990262686,0.026647094,0.722906838,0.06837489,-0.787818508,0.000733191,0.477067842,0.06837489,-0.442953229,0.491267128,0.182034777,0.06837489,-1.01869387,0.113632376,2.151578292,0.068397188
-0.014837812,-0.831355185,-0.203581922,0.136749781,0.273383586,-0.418359007,-0.273452739,0.136749781,-0.052553773,0.363884231,0.252605931,0.136749781,-0.348302878,-0.17836435,0.207406058,0.068397188
0.6589924,-1.416139338,-0.361694769,0.239312116,0.936674911,-1.773516655,-0.612893903,0.239312116,0.548060775,-0.613841945,-0.396123876,0.239312116,0.587475763,-0.416593476,-0.04779055,0.136794376
1.076063948,-1.485148481,-0.398211663,0.410249342,0.873611015,-1.688173177,-0.636697364,0.410249342,1.109635378,-1.363715086,-0.535429326,0.410249342,0.852274314,-0.588614655,-0.680373819,0.307787346
1.121545069,-1.416480968,-0.61935815,0.581186568,0.859205557,-1.257569873,-0.825706457,0.581186568,1.097623087,-1.549294483,-0.67659676,0.581186568,1.095865417,-0.623721736,-0.561114468,0.444581722
