S7_T,S7_H,S7_P,S8_T,S8_H,S8_P,S9_T,S9_H,S9_P,S6_T,S6_H,S6_P
-0.040589073,0.835039447,0.621966222,-0.656539772,0.954462273,1.168846948,0.363958525,0.036133882,0.621966222,0.274676204,0.461885479,1.168846948
-0.191113734,1.001313681,0.510900825,-0.713514071,0.954157955,1.013000688,-0.092781774,0.03519011,0.510900825,0.014953719,0.605461658,1.013000688
-0.249614585,1.000807711,0.377622349,-0.741209911,0.954218818,0.779231299,0.107118913,0.03519011,0.377622349,0.055250056,0.567133102,0.779231299
-0.440892647,1.000934204,0.310983111,-0.717866275,0.954584,0.649359416,-0.116130829,0.0355047,0.310983111,0.11254641,0.530243666,0.649359416
-0.384692392,1.000744465,0.266556952,-0.746749079,0.954401409,0.519487533,0.037071746,0.035609564,0.266556952,0.044861157,0.689122485,0.519487533
-0.31698916,1.001376927,0.288770032,-0.842497553,0.953914501,0.519487533,-0.12104642,0.035819291,0.288770032,-0.19534279,0.581908065,0.519487533
-0.27886501,1.001313681,0.377622349,-1.421340604,0.953366729,0.571436286,0.015361221,0.0355047,0.377622349,-0.157250159,0.381438686,0.571436286
2.303717488,-1.871834241,0.755244698,0.173939765,0.490864573,0.701308169,2.39614563,-3.368261236,0.755244698,1.793029593,-0.837687612,0.701308169
1.380850135,-1.354859883,0.888523174,-0.139418879,0.949775779,0.727282546,1.880827876,-2.362724665,0.888523174,1.526381175,-0.950658511,0.727282546
1.18990073,-1.456306772,0.932949333,-0.398572808,0.954949181,0.701308169,0.624894462,-0.896103069,0.932949333,0.895491647,-0.127194199,0.701308169
0.959841205,-0.686600639,1.02180165,-0.461877584,0.954705727,0.753256922,1.07344211,-0.705566,1.02180165,0.41854672,0.477332031,0.753256922
0.599962376,-0.591225385,1.332784761,-0.643483162,0.954279682,1.013000688,0.594991286,0.036238745,1.332784761,0.399028182,0.405471985,1.013000688
0.241069517,0.256906024,1.688194031,-0.679883409,0.954523136,1.324693208,0.414343329,0.0355047,1.688194031,0.258305817,0.634292023,1.324693208
0.152660928,0.720310858,2.08802946,-0.711931452,0.954584,1.558462598,0.447933199,0.035819291,2.08802946,0.243509506,0.68144718,1.558462598
0.111250213,1.001503419,2.843274158,-0.751892592,0.954218818,2.026001377,0.458583645,0.035819291,2.843274158,0.107509368,0.38105492,2.026001377
-0.133927509,1.001313681,3.887288887,-0.804910342,0.954523136,3.013027689,0.210346317,0.035924155,3.887288887,0.008657416,0.533841466,3.013027689
-0.16449256,1.00099745,4.353763554,-0.87968911,0.954340545,4.000054,0.190274322,0.035819291,4.353763554,-0.081064897,0.597546499,4.000054
-0.201959397,1.000934204,3.731797332,-0.873754287,0.954279682,4.15590026,0.133745029,0.035399837,3.731797332,-0.110342704,0.68950625,4.15590026
-0.192099703,1.001060696,2.732208761,-0.98651592,0.954097091,3.766284611,0.106709281,0.035819291,2.732208761,-0.156935344,0.703897448,3.766284611
1.233283383,-1.333988641,4.953516697,0.046143247,0.687940764,2.31171952,1.922610396,-2.512155222,4.953516697,1.837418527,-1.225386469,2.31171952
1.316433468,-1.489574268,0.5,-0.209449788,0.955070908,2.701335169,2.090559744,-3.33942376,5.975318347,1.735733238,-1.185570823,2.701335169
0.983833126,-1.560346755,0.6,-0.365733455,0.955070908,2.805232676,1.224596523,-0.045869414,0.6,1.223529016,-0.917798611,2.805232676
0.694286781,-1.347207094,0.7,-0.7036227,0.954279682,3.013027689,0.714194359,0.036029018,0.7,0.419805981,0.134006033,3.013027689
0.562166882,-1.558196384,0.7,-0.766136167,0.954279682,3.272771455,0.608099528,-0.387305129,0.7,0.009916677,0.565885865,3.272771455
0.043218325,-0.538541308,0.8,-0.971085381,0.954157955,3.428617715,0.298826949,0.035714428,0.7,-0.212657623,0.644653685,3.428617715
-0.16547853,1.000934204,0.8,-1.002342114,0.954218818,3.324720208,-0.229599047,0.035294973,0.7,-0.257046556,0.789333189,3.324720208
-0.27327785,1.001250435,0.8,-1.01421176,0.954157955,3.168873948,0.038300644,0.035714428,0.7,-0.201009463,0.765491772,3.168873948
-0.334079296,1.001250435,0.8,-1.016981344,0.954157955,3.090950818,-0.199286238,0.035399837,0.7,-0.173935361,0.447973988,3.090950818
-0.351169432,0.939522153,0.8,-1.117477676,0.953610183,3.116925195,-0.653978374,0.033826884,0.7,-0.437435628,0.805787125,3.116925195
-0.547048685,0.445442917,0.8,-1.263869972,0.95373191,3.298745831,-0.692074201,0.033931747,0.7,-0.382028164,0.735030405,3.298745831
-0.562495539,0.483390631,0.6,-1.16179102,0.954097091,2.753283922,-0.79284381,0.033617157,0.6,-0.509213478,0.816100816,2.753283922
1.459399031,-0.90770932,0.133278476,0.314001583,-0.145098716,0.025974377,0.68388155,-1.653532483,0.133278476,1.427844038,-1.102485643,0.025974377
0.940450473,-1.172268133,0.177704635,0.181061552,0.184903481,0.025974377,0.637183439,-0.475285647,0.177704635,1.809714795,-0.911946191,0.025974377
0.362015096,-1.147602118,0.222130794,-0.920837214,0.954401409,0.025974377,0.958744995,-1.670100924,0.222130794,0.440583779,0.029957676,0.025974377
0.508595879,-1.165374298,0.222130794,-0.922419834,0.954462273,0.025974377,0.154636289,0.035819291,0.222130794,0.085787124,0.205626225,0.025974377
-0.156933462,0.808792278,0.266556952,-1.069207784,0.892137992,0.051948753,0.187816526,0.035819291,0.266556952,-0.514250521,0.845506829,0.051948753
-0.390608208,0.728849094,0.33319619,-1.079099156,0.954036228,0.103897507,-0.103841853,0.035399837,0.33319619,-0.546046849,0.788373776,0.103897507
-0.339995112,0.502237995,0.377622349,-1.365948924,0.728049847,0.15584626,-0.171021592,0.035294973,0.377622349,-0.556435748,0.674011728,0.15584626
-0.440563991,1.000934204,0.35540927,-1.426484117,0.953366729,0.207795013,-0.220177498,0.035294973,0.35540927,-0.836936032,0.686052363,0.207795013
-0.573012546,1.000870958,0.288770032,-1.67535102,0.800964386,0.181820636,-0.301694377,0.03519011,0.288770032,-0.870306437,0.812934753,0.181820636
-0.508595879,1.001060696,0.222130794,-1.746964548,0.452703124,0.181820636,-0.341838367,0.03519011,0.222130794,-0.901473135,0.853757783,0.181820636
-0.54474809,1.000870958,0.177704635,-1.802356228,0.380336356,0.15584626,-0.276706791,0.034875519,0.177704635,-0.824028612,0.792883018,0.15584626
-0.731424962,1.000238496,0.111065397,-2.030253423,0.554040943,0.15584626,-0.311115925,0.034875519,0.111065397,-0.782787829,0.747646688,0.15584626
0.536860335,-0.700957524,0,0.42874149,0.601879697,0.07792313,1.233198806,-0.868838546,0,1.107362232,-0.783049033,0.07792313
0.264404126,-0.181010596,0.022213079,-0.451590558,0.954705727,0.051948753,1.702637714,-1.976197623,0.022213079,0.99623249,-0.753067372,0.051948753
0.08923023,0.430580062,0.022213079,-0.328146244,0.955496953,0,1.477339809,-2.839644085,0.022213079,1.51567746,-1.086991121,0
0.416243412,-0.199415237,0.066639238,-0.438138293,0.954827454,0,1.017732083,-1.812925077,0.066639238,0.822139721,-0.961164085,0
0.326520197,-0.379034417,0.133278476,-0.520434503,0.954523136,0.025974377,0.248032512,-0.043457552,0.133278476,0.434602292,-0.694830993,0.025974377
-0.46948576,0.643719722,0.222130794,-0.955654841,0.954157955,0.07792313,-0.133335397,0.0355047,0.222130794,-0.06595377,-0.449173255,0.07792313
-0.770206424,0.859072999,0.310983111,-0.613017738,0.541685641,0.129871883,-0.351259916,0.034665792,0.310983111,0.261453968,-0.66249877,0.129871883
-0.549677937,0.510965969,0.35540927,-0.86584119,0.954644863,0.103897507,-0.356175506,0.035294973,0.35540927,-0.052101905,-0.275807297,0.103897507
-0.567425386,0.623860419,0.33319619,-0.799371174,0.826831397,0.07792313,-0.319718209,0.035085246,0.33319619,-0.142453848,-0.145231167,0.07792313
